EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 06-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : minimum temperature in 0.1 &#176;C
23-27 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, WROCLAW (STAID: 210).
Blended and updated with sources: 100660 912424 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100660,19510729,  101,    0
100660,19510730,  146,    0
100660,19510731,   90,    0
100660,19510801,  111,    0
100660,19510802,  165,    0
100660,19510803,  149,    0
100660,19510804,  153,    0
100660,19510805,  163,    0
100660,19510806,  173,    0
100660,19510807,  135,    0
100660,19510808,  168,    0
100660,19510809,  146,    0
100660,19510810,  142,    0
100660,19510811,  123,    0
100660,19510812,  101,    0
100660,19510813,  117,    0
100660,19510814,  126,    0
100660,19510815,   83,    0
100660,19510816,  110,    0
100660,19510817,  135,    0
100660,19510818,   95,    0
100660,19510819,   56,    0
100660,19510820,  103,    0
100660,19510821,  113,    0
100660,19510822,  109,    0
100660,19510823,  163,    0
100660,19510824,  154,    0
100660,19510825,  146,    0
100660,19510826,  151,    0
100660,19510827,  161,    0
100660,19510828,  135,    0
100660,19510829,  131,    0
100660,19510830,  151,    0
100660,19510831,  172,    0
100660,19510901,  127,    0
100660,19510902,   81,    0
100660,19510903,  115,    0
100660,19510904,  136,    0
100660,19510905,   96,    0
100660,19510906,  135,    0
100660,19510907,  152,    0
100660,19510908,  143,    0
100660,19510909,  145,    0
100660,19510910,   86,    0
100660,19510911,   71,    0
100660,19510912,   97,    0
100660,19510913,  136,    0
100660,19510914,  145,    0
100660,19510915,  134,    0
100660,19510916,  136,    0
100660,19510917,  110,    0
100660,19510918,   80,    0
100660,19510919,   80,    0
100660,19510920,   69,    0
100660,19510921,   62,    0
100660,19510922,   20,    0
100660,19510923,   -2,    0
100660,19510924,   67,    0
100660,19510925,   58,    0
100660,19510926,   97,    0
100660,19510927,   92,    0
100660,19510928,  104,    0
100660,19510929,  100,    0
100660,19510930,  112,    0
100660,19511001,   86,    0
100660,19511002,   43,    0
100660,19511003,    8,    0
100660,19511004,    5,    0
100660,19511005,   -6,    0
100660,19511006,    8,    0
100660,19511007,   18,    0
100660,19511008,  -20,    0
100660,19511009,  -35,    0
100660,19511010,  -40,    0
100660,19511011,  -20,    0
100660,19511012,  -26,    0
100660,19511013,   22,    0
100660,19511014,   -2,    0
100660,19511015,   -4,    0
100660,19511016,    0,    0
100660,19511017,    9,    0
100660,19511018,  -25,    0
100660,19511019,  -28,    0
100660,19511020,    1,    0
100660,19511021,    6,    0
100660,19511022,   61,    0
100660,19511023,   72,    0
100660,19511024,   76,    0
100660,19511025,   70,    0
100660,19511026,   -8,    0
100660,19511027,   11,    0
100660,19511028,   12,    0
100660,19511029,   -9,    0
100660,19511030,   -2,    0
100660,19511031,   42,    0
100660,19511101,   46,    0
100660,19511102,   67,    0
100660,19511103,   64,    0
100660,19511104,   47,    0
100660,19511105,    6,    0
100660,19511106,   37,    0
100660,19511107,   22,    0
100660,19511108,    3,    0
100660,19511109,   82,    0
100660,19511110,   61,    0
100660,19511111,   25,    0
100660,19511112,   13,    0
100660,19511113,   78,    0
100660,19511114,   49,    0
100660,19511115,   46,    0
100660,19511116,   26,    0
100660,19511117,   52,    0
100660,19511118,   17,    0
100660,19511119,   17,    0
100660,19511120,   22,    0
100660,19511121,   26,    0
100660,19511122,   59,    0
100660,19511123,   24,    0
100660,19511124,    9,    0
100660,19511125,   76,    0
100660,19511126,   16,    0
100660,19511127,   24,    0
100660,19511128,   43,    0
100660,19511129,   12,    0
100660,19511130,   26,    0
100660,19511201,   34,    0
100660,19511202,    6,    0
100660,19511203,  -21,    0
100660,19511204,  -10,    0
100660,19511205,   72,    0
100660,19511206,   30,    0
100660,19511207,   11,    0
100660,19511208,   -7,    0
100660,19511209,    9,    0
100660,19511210,   20,    0
100660,19511211,  -15,    0
100660,19511212,  -43,    0
100660,19511213,    7,    0
100660,19511214,   14,    0
100660,19511215,  -37,    0
100660,19511216,   12,    0
100660,19511217,   20,    0
100660,19511218,  -14,    0
100660,19511219,  -19,    0
100660,19511220,  -35,    0
100660,19511221,  -46,    0
100660,19511222,  -16,    0
100660,19511223,  -18,    0
100660,19511224,  -37,    0
100660,19511225,  -49,    0
100660,19511226,  -21,    0
100660,19511227,    6,    0
100660,19511228,   -2,    0
100660,19511229,  -35,    0
100660,19511230,  -13,    0
100660,19511231,  -15,    0
100660,19520101,   18,    0
100660,19520102,    0,    0
100660,19520103,   15,    0
100660,19520104,  -41,    0
100660,19520105,  -16,    0
100660,19520106,  -11,    0
100660,19520107,  -10,    0
100660,19520108,   17,    0
100660,19520109,   -5,    0
100660,19520110,   -3,    0
100660,19520111,   14,    0
100660,19520112,  -15,    0
100660,19520113,  -18,    0
100660,19520114,  -73,    0
100660,19520115,   20,    0
100660,19520116,   18,    0
100660,19520117,  -28,    0
100660,19520118,   -4,    0
100660,19520119,  -25,    0
100660,19520120,  -31,    0
100660,19520121,   -5,    0
100660,19520122,  -34,    0
100660,19520123,  -64,    0
100660,19520124,  -71,    0
100660,19520125,  -21,    0
100660,19520126,  -50,    0
100660,19520127,  -64,    0
100660,19520128,  -76,    0
100660,19520129, -102,    0
100660,19520130,  -95,    0
100660,19520131,  -66,    0
100660,19520201,  -25,    0
100660,19520202,  -78,    0
100660,19520203,  -71,    0
100660,19520204,  -77,    0
100660,19520205,  -20,    0
100660,19520206,  -59,    0
100660,19520207,  -52,    0
100660,19520208,    3,    0
100660,19520209,  -21,    0
100660,19520210,  -73,    0
100660,19520211,  -35,    0
100660,19520212,  -33,    0
100660,19520213,  -85,    0
100660,19520214, -117,    0
100660,19520215,  -69,    0
100660,19520216,  -45,    0
100660,19520217,  -35,    0
100660,19520218,  -56,    0
100660,19520219,  -78,    0
100660,19520220,  -25,    0
100660,19520221,  -11,    0
100660,19520222,   25,    0
100660,19520223,   25,    0
100660,19520224,   34,    0
100660,19520225,    9,    0
100660,19520226,   12,    0
100660,19520227,   15,    0
100660,19520228,    8,    0
100660,19520229,   13,    0
100660,19520301,  -13,    0
100660,19520302,  -47,    0
100660,19520303,    2,    0
100660,19520304,  -31,    0
100660,19520305,  -88,    0
100660,19520306, -104,    0
100660,19520307,  -75,    0
100660,19520308,  -79,    0
100660,19520309,  -90,    0
100660,19520310,  -54,    0
100660,19520311,   -9,    0
100660,19520312,  -26,    0
100660,19520313,  -23,    0
100660,19520314,  -48,    0
100660,19520315,  -77,    0
100660,19520316,  -51,    0
100660,19520317,  -51,    0
100660,19520318,  -41,    0
100660,19520319,  -56,    0
100660,19520320,  -71,    0
100660,19520321,  -50,    0
100660,19520322,  -38,    0
100660,19520323,  -20,    0
100660,19520324,  -30,    0
100660,19520325,    4,    0
100660,19520326,  -31,    0
100660,19520327,  -83,    0
100660,19520328, -113,    0
100660,19520329,  -48,    0
100660,19520330,  -47,    0
100660,19520331,   -9,    0
100660,19520401,  -20,    0
100660,19520402,  -62,    0
100660,19520403,  -35,    0
100660,19520404,    0,    0
100660,19520405,   19,    0
100660,19520406,   23,    0
100660,19520407,   26,    0
100660,19520408,   73,    0
100660,19520409,   92,    0
100660,19520410,   61,    0
100660,19520411,   50,    0
100660,19520412,   48,    0
100660,19520413,   72,    0
100660,19520414,   61,    0
100660,19520415,   79,    0
100660,19520416,  103,    0
100660,19520417,   55,    0
100660,19520418,    7,    0
100660,19520419,   24,    0
100660,19520420,   30,    0
100660,19520421,   70,    0
100660,19520422,   74,    0
100660,19520423,  105,    0
100660,19520424,  100,    0
100660,19520425,   86,    0
100660,19520426,   82,    0
100660,19520427,   81,    0
100660,19520428,   73,    0
100660,19520429,  104,    0
100660,19520430,   53,    0
100660,19520501,   64,    0
100660,19520502,   82,    0
100660,19520503,   49,    0
100660,19520504,   94,    0
100660,19520505,  120,    0
100660,19520506,   75,    0
100660,19520507,  111,    0
100660,19520508,  126,    0
100660,19520509,   98,    0
100660,19520510,  132,    0
100660,19520511,  103,    0
100660,19520512,  102,    0
100660,19520513,   92,    0
100660,19520514,   80,    0
100660,19520515,   67,    0
100660,19520516,   54,    0
100660,19520517,   34,    0
100660,19520518,    8,    0
100660,19520519,   32,    0
100660,19520520,    0,    0
100660,19520521,   36,    0
100660,19520522,  -12,    0
100660,19520523,   27,    0
100660,19520524,   90,    0
100660,19520525,   89,    0
100660,19520526,   74,    0
100660,19520527,   87,    0
100660,19520528,   45,    0
100660,19520529,  104,    0
100660,19520530,   63,    0
100660,19520531,   47,    0
100660,19520601,  147,    0
100660,19520602,  107,    0
100660,19520603,  148,    0
100660,19520604,  117,    0
100660,19520605,   26,    0
100660,19520606,   85,    0
100660,19520607,  146,    0
100660,19520608,   95,    0
100660,19520609,   36,    0
100660,19520610,   78,    0
100660,19520611,  102,    0
100660,19520612,  101,    0
100660,19520613,   63,    0
100660,19520614,  107,    0
100660,19520615,  129,    0
100660,19520616,  115,    0
100660,19520617,   71,    0
100660,19520618,  135,    0
100660,19520619,  164,    0
100660,19520620,  131,    0
100660,19520621,  120,    0
100660,19520622,  116,    0
100660,19520623,  104,    0
100660,19520624,   89,    0
100660,19520625,   85,    0
100660,19520626,  112,    0
100660,19520627,  103,    0
100660,19520628,   88,    0
100660,19520629,   93,    0
100660,19520630,  121,    0
100660,19520701,  147,    0
100660,19520702,  113,    0
100660,19520703,  164,    0
100660,19520704,  170,    0
100660,19520705,  189,    0
100660,19520706,  102,    0
100660,19520707,   97,    0
100660,19520708,   87,    0
100660,19520709,   82,    0
100660,19520710,   91,    0
100660,19520711,  146,    0
100660,19520712,  136,    0
100660,19520713,  131,    0
100660,19520714,  109,    0
100660,19520715,  146,    0
100660,19520716,  134,    0
100660,19520717,   63,    0
100660,19520718,  103,    0
100660,19520719,  109,    0
100660,19520720,  141,    0
100660,19520721,  156,    0
100660,19520722,   64,    0
100660,19520723,  112,    0
100660,19520724,   63,    0
100660,19520725,  117,    0
100660,19520726,   92,    0
100660,19520727,  108,    0
100660,19520728,  126,    0
100660,19520729,  124,    0
100660,19520730,   79,    0
100660,19520731,   89,    0
100660,19520801,  105,    0
100660,19520802,  119,    0
100660,19520803,  144,    0
100660,19520804,  159,    0
100660,19520805,  119,    0
100660,19520806,  144,    0
100660,19520807,  149,    0
100660,19520808,  172,    0
100660,19520809,  138,    0
100660,19520810,  160,    0
100660,19520811,  107,    0
